age,income,credit_score,website_visits,email_opens,property_views,contact_attempts,time_on_site_minutes,inquiry_submitted,financing_pre_approved,budget_disclosed,location_preference_set,lead_score
60,172728,667,11,14,8,2,36,0,1,1,1,Medium
50,176965,350,10,8,6,2,19,1,0,1,0,Medium
36,308637,442,13,10,3,4,22,0,1,0,1,Low
64,426848,718,26,12,10,4,57,1,0,1,0,Medium
29,125872,847,15,15,6,1,37,0,0,1,0,Medium
42,353923,799,33,10,13,4,50,0,1,0,1,Medium
60,199524,466,11,5,7,1,28,0,0,1,1,Low
40,174338,559,12,13,8,4,24,1,1,0,0,Medium
44,413331,491,26,17,9,3,30,0,1,0,1,Medium
32,146603,501,15,11,5,1,29,0,1,1,0,Low
32,353751,484,16,16,9,3,49,0,0,0,0,Low
45,46940,457,9,3,4,1,19,0,1,0,0,Low
57,185075,398,16,13,9,2,26,0,0,1,1,Low
61,157880,540,17,9,6,0,27,0,1,0,1,Medium
45,128408,790,12,9,7,0,35,1,0,0,0,Medium
24,326959,501,12,14,13,4,24,1,0,0,0,Low
43,191941,808,24,12,13,1,37,1,1,1,0,High
23,79297,395,9,7,2,2,13,1,0,1,0,Low
45,90107,789,16,14,13,2,27,1,1,1,1,High
65,374937,517,17,19,11,5,40,1,1,1,1,Medium
51,439898,826,23,16,12,6,69,0,0,0,1,Medium
59,49622,572,10,4,9,3,32,1,1,0,1,Low
23,322552,518,9,12,3,1,40,0,0,0,1,Low
42,169909,631,19,14,9,3,32,1,1,0,0,Medium
54,487426,752,27,28,6,3,43,0,1,1,0,Medium
33,176479,451,12,6,8,3,15,1,0,0,0,Low
43,190381,646,16,9,6,4,35,0,1,1,0,Medium
65,495134,713,34,18,16,5,55,1,1,1,0,High
46,123190,826,21,11,6,3,37,1,1,0,0,Medium
48,442111,730,27,21,11,9,44,0,1,1,1,Medium
63,282356,678,22,18,7,6,41,0,0,1,1,Medium
49,247984,727,16,16,9,3,32,1,0,1,0,Medium
